id;nome_da_conta_bancaria;valor_inicial;cod_conta_extrato;digito
1;Automated Bedfordshire;86494;Prairie;connecting New Hampshire maroon
2;reboot Industrial;61878;Licensed Fresh Pizza;Ergonomic Concrete Table Berkshire bricks-and-clicks
3;Rubber e-services deposit;83278;Security;backing up
4;Shoes;82664;compress;Representative
5;infrastructures azure;49572;copying;white digital turn-key
6;Intelligent;2841;content;capability Home Loan Account Data
7;silver;20225;Angola Michigan Investment Account;Product Assistant
8;IB Wells;30515;bluetooth Division;infomediaries
9;Baby system-worthy;18679;Sleek PNG microchip;Practical archive
10;website XSS hard drive;87352;solid state;Licensed Plastic Chicken Mobility back-end
