id;movement_date;movement_value;history;number_doc;accid
1;2020-11-27T01:53:39;83170;Buckinghamshire;Landing;Fantastic Cotton Shirt Pine
2;2020-11-27T08:22:48;99073;knowledge user Shoes 4th generation;migration;Kina embrace Toys
3;2020-11-27T17:24:54;546;mobile Handmade;Metal alarm;Investor payment GB
4;2020-11-27T04:01:19;5642;Awesome;invoice Tunnel Auto Loan Account;benchmark Up-sized
5;2020-11-27T08:48:32;60996;Investment Account;Key Arkansas;deposit
6;2020-11-28T00:17:23;65095;Developer web-enabled Bedfordshire;Fantastic Frozen Towels;Sports portal
7;2020-11-27T03:57:21;91153;South Carolina;action-items Shoes driver;Balboa US Dollar optimize context-sensitive
8;2020-11-27T11:19:18;69657;Frozen Yuan Renminbi even-keeled;Ergonomic Cotton Pizza;Handcrafted leverage
9;2020-11-27T00:43:55;37524;Metal;THX;quantifying
10;2020-11-27T19:58:05;82982;Frozen fuchsia;Serbia;Pizza withdrawal archive
