id;nome_projeto;data_inicial;data_final
1;Grass-roots;2020-12-07T18:48:53;2020-12-07T17:25:22
2;compress Assimilated Borders;2020-12-08T09:54:48;2020-12-07T13:20:38
3;Mouse hard drive world-class;2020-12-07T19:41:54;2020-12-08T06:01:02
4;Steel alarm Idaho;2020-12-08T07:03:57;2020-12-08T08:49:42
5;primary;2020-12-07T17:17:44;2020-12-08T07:58:48
6;circuit revolutionize;2020-12-07T17:35:41;2020-12-08T10:13:03
7;Unbranded;2020-12-08T04:26:30;2020-12-08T02:17:34
8;South Dakota Fantastic;2020-12-07T20:53:23;2020-12-07T18:03:22
9;Supervisor User-friendly;2020-12-08T09:47:48;2020-12-07T14:42:45
10;engineer deliver green;2020-12-08T01:16:05;2020-12-08T03:27:52
